"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","376","0.80%","92.16%","32","0.86%","7.84%","408","0.81%"
"Twenties (20-29)","9,674","20.65%","93.13%","714","19.12%","6.87%","10,388","20.53%"
"Thirties (30-39)","14,606","31.17%","91.46%","1,364","36.53%","8.54%","15,970","31.57%"
"Forties (40-49)","11,164","23.83%","91.96%","976","26.14%","8.04%","12,140","24.00%"
"Fifties (50-59)","6,793","14.50%","93.52%","471","12.61%","6.48%","7,264","14.36%"
"Sixties (60-69)","3,338","7.12%","95.70%","150","4.02%","4.30%","3,488","6.89%"
"Seventy + (70 and above)","907","1.94%","97.11%","27","0.72%","2.89%","934","1.85%"
"Total Reported","46,858","100%","92.62%","3,734","100%","7.38%","50,592","100.0%"
"Not Reported","407","","","3","","","410",""
"Grand Total","47,265","","","3,737","","","51,002",""
