"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","397","0.83%","94.30%","24","0.62%","5.70%","421","0.82%"
"Twenties (20-29)","9,547","20.00%","92.74%","747","19.42%","7.26%","10,294","19.96%"
"Thirties (30-39)","14,606","30.60%","91.39%","1,376","35.77%","8.61%","15,982","30.98%"
"Forties (40-49)","11,678","24.46%","92.26%","980","25.47%","7.74%","12,658","24.54%"
"Fifties (50-59)","6,884","14.42%","93.23%","500","13.00%","6.77%","7,384","14.31%"
"Sixties (60-69)","3,625","7.59%","95.04%","189","4.91%","4.96%","3,814","7.39%"
"Seventy + (70 and above)","999","2.09%","96.99%","31","0.81%","3.01%","1,030","2.00%"
"Total Reported","47,736","100%","92.54%","3,847","100%","7.46%","51,583","100%"
"Not Reported","434","","","3","","","437",""
"Grand Total","48,170","","","3,850","","","52,020",""
