"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","343","0.77%","93.21%","25","0.75%","6.79%","368","0.77%"
"Twenties (20-29)","9,689","21.68%","93.28%","698","20.98%","6.72%","10,387","21.63%"
"Thirties (30-39)","14,034","31.40%","92.09%","1,206","36.25%","7.91%","15,240","31.73%"
"Forties (40-49)","10,367","23.19%","92.52%","838","25.19%","7.48%","11,205","23.33%"
"Fifties (50-59)","6,453","14.44%","94.18%","399","11.99%","5.82%","6,852","14.27%"
"Sixties (60-69)","3,022","6.76%","95.54%","141","4.24%","4.46%","3,163","6.59%"
"Seventy + (70 and above)","790","1.77%","97.53%","20","0.60%","2.47%","810","1.69%"
"Total Reported","44,698","100%","93.07%","3,327","100%","6.93%","48,025","100.0%"
"Not Reported","379","","","2","","","381",""
"Grand Total","45,077","","","3,329","","","48,406",""
