"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","386","0.79%","95.54%","18","0.45%","4.46%","404","0.76%"
"Twenties (20-29)","9,436","19.24%","92.61%","753","18.74%","7.39%","10,189","19.21%"
"Thirties (30-39)","14,933","30.45%","91.23%","1,435","35.71%","8.77%","16,368","30.85%"
"Forties (40-49)","12,244","24.97%","91.95%","1,072","26.68%","8.05%","13,316","25.1%"
"Fifties (50-59)","7,066","14.41%","93.39%","500","12.44%","6.61%","7,566","14.26%"
"Sixties (60-69)","3,839","7.83%","94.95%","204","5.08%","5.05%","4,043","7.62%"
"Seventy + (70 and above)","1,131","2.31%","96.92%","36","0.9%","3.08%","1,167","2.2%"
"Total Reported","49,035","100.00%","92.43%","4,018","100.00%","7.57%","53,053","100.00%"
"Not Reported","458","","","3","","","461",""
"Grand Total","49,493","","","49,038","","","53,514",""
