"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","300","0.68%","95.24%","15","0.47%","4.76%","315","0.67%"
"Twenties (20-29)","9,940","22.54%","93.67%","672","21.02%","6.33%","10,612","22.44%"
"Thirties (30-39)","13,750","31.18%","92.24%","1,156","36.16%","7.76%","14,906","31.52%"
"Forties (40-49)","10,179","23.08%","92.61%","812","25.40%","7.39%","10,991","23.24%"
"Fifties (50-59)","6,268","14.22%","94.16%","389","12.17%","5.84%","6,657","14.08%"
"Sixties (60-69)","2,919","6.62%","95.61%","134","4.19%","4.39%","3,053","6.46%"
"Seventy + (70 and above)","738","1.67%","97.49%","19","0.59%","2.51%","757","1.60%"
"Total Reported","44,094","100%","93.24%","3,197","100%","6.76%","47,291","100.0%"
"Not Reported","363","","","1","","","364",""
"Grand Total","44,457","","","3,198","","","47,655",""
