"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","996","1.96%","95.68%","45","1.29%","4.32%","1,041","1.92%"
"Twenties (20-29)","16,300","32.08%","94.33%","979","27.98%","5.67%","17,279","31.82%"
"Thirties (30-39)","14,924","29.37%","92.89%","1,142","32.64%","7.11%","16,066","29.58%"
"Forties (40-49)","12,137","23.89%","92.33%","1,008","28.81%","7.67%","13,145","24.21%"
"Fifties (50-59)","5,063","9.97%","94.79%","278","7.95%","5.21%","5,341","9.84%"
"Sixties (60-69)","1,172","2.31%","96.78%","39","1.11%","3.22%","1,211","2.23%"
"Seventy + (70 and above)","215","0.42%","96.41%","8","0.23%","3.59%","223","0.41%"
"Total Reported","50,807","100%","93.56%","3,499","100%","6.44%","54,306","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,807","","","3,499","","","54,306",""
