"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,006","1.98%","95.72%","45","1.30%","4.28%","1,051","1.93%"
"Twenties (20-29)","16,296","32.05%","94.37%","972","27.99%","5.63%","17,268","31.79%"
"Thirties (30-39)","14,916","29.33%","92.91%","1,138","32.77%","7.09%","16,054","29.55%"
"Forties (40-49)","12,146","23.89%","92.45%","992","28.56%","7.55%","13,138","24.19%"
"Fifties (50-59)","5,083","10.00%","94.80%","279","8.03%","5.20%","5,362","9.87%"
"Sixties (60-69)","1,189","2.34%","96.82%","39","1.12%","3.18%","1,228","2.26%"
"Seventy + (70 and above)","213","0.42%","96.38%","8","0.23%","3.62%","221","0.41%"
"Total Reported","50,849","100%","93.61%","3,473","100%","6.39%","54,322","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,849","","","3,473","","","54,322",""
