"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","298","0.69%","96.13%","12","0.40%","3.87%","310","0.67%"
"Twenties (20-29)","9,777","22.55%","93.83%","643","21.24%","6.17%","10,420","22.47%"
"Thirties (30-39)","13,559","31.28%","92.62%","1,081","35.71%","7.38%","14,640","31.56%"
"Forties (40-49)","9,965","22.99%","92.89%","763","25.21%","7.11%","10,728","23.13%"
"Fifties (50-59)","6,183","14.26%","94.15%","384","12.69%","5.85%","6,567","14.16%"
"Sixties (60-69)","2,849","6.57%","95.73%","127","4.20%","4.27%","2,976","6.42%"
"Seventy + (70 and above)","723","1.67%","97.70%","17","0.56%","2.30%","740","1.60%"
"Total Reported","43,354","100%","93.47%","3,027","100%","6.53%","46,381","100.0%"
"Not Reported","361","","","1","","","362",""
"Grand Total","43,715","","","3,028","","","46,743",""
