"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,768","6.04%","96.72%","94","3.25%","3.28%","2,862","5.87%"
"Twenties","14,655","31.96%","94.57%","842","29.10%","5.43%","15,497","31.79%"
"Thirties","13,470","29.38%","93.07%","1,003","34.67%","6.93%","14,473","29.69%"
"Forties","10,438","22.76%","93.29%","751","25.96%","6.71%","11,189","22.95%"
"Fifties","3,579","7.81%","95.64%","163","5.63%","4.36%","3,742","7.68%"
"Sixties","810","1.77%","95.41%","39","1.35%","4.59%","849","1.74%"
"Seventy +","135","0.29%","99.26%","1","0.03%","0.74%","136","0.28%"
"Total Reported","45,855","100%","94.07%","2,893","100%","5.93%","48,748","100%"
"Not Reported","1","","","0","","","1",""
"Grand Total","45,856","","","2,893","","","48,749",""
