"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","785","1.59%","96.32%","30","0.85%","3.68%","815","1.54%"
"Twenties (20-29)","14,992","30.32%","93.75%","1,000","28.43%","6.25%","15,992","30.20%"
"Thirties (30-39)","14,527","29.38%","92.57%","1,166","33.15%","7.43%","15,693","29.63%"
"Forties (40-49)","10,221","20.67%","92.75%","799","22.72%","7.25%","11,020","20.81%"
"Fifties (50-59)","6,444","13.03%","93.79%","427","12.14%","6.21%","6,871","12.97%"
"Sixties (60-69)","1,910","3.86%","95.88%","82","2.33%","4.12%","1,992","3.76%"
"Seventy + (70 and above)","563","1.14%","97.74%","13","0.37%","2.26%","576","1.09%"
"Total Reported","49,442","100%","93.36%","3,517","100%","6.64%","52,959","100%"
"Not Reported","114","","","1","","","115",""
"Grand Total","49,556","","","3,518","","","53,074",""
