"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","735","1.46%","95.95%","31","0.82%","4.05%","766","1.42%"
"Twenties (20-29)","14,547","28.91%","93.63%","990","26.16%","6.37%","15,537","28.71%"
"Thirties (30-39)","15,162","30.13%","91.95%","1,327","35.07%","8.05%","16,489","30.47%"
"Forties (40-49)","10,255","20.38%","92.11%","879","23.23%","7.89%","11,134","20.58%"
"Fifties (50-59)","6,757","13.43%","93.94%","436","11.52%","6.06%","7,193","13.29%"
"Sixties (60-69)","2,280","4.53%","95.68%","103","2.72%","4.32%","2,383","4.40%"
"Seventy + (70 and above)","590","1.17%","97.04%","18","0.48%","2.96%","608","1.12%"
"Total Reported","50,326","100%","93.01%","3,784","100%","6.99%","54,110","100%"
"Not Reported","184","","","1","","","185",""
"Grand Total","50,510","","","3,785","","","54,295",""
