"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","422","0.86%","95.91%","18","0.45%","4.09%","440","0.83%"
"Twenties (20-29)","9,415","19.2%","92.65%","747","18.66%","7.35%","10,162","19.16%"
"Thirties (30-39)","14,851","30.29%","91.24%","1,426","35.62%","8.76%","16,277","30.69%"
"Forties (40-49)","12,256","25.0%","91.94%","1,075","26.85%","8.06%","13,331","25.14%"
"Fifties (50-59)","7,081","14.44%","93.47%","495","12.37%","6.53%","7,576","14.29%"
"Sixties (60-69)","3,869","7.89%","94.97%","205","5.12%","5.03%","4,074","7.68%"
"Seventy + (70 and above)","1,135","2.31%","96.84%","37","0.92%","3.16%","1,172","2.21%"
"Total Reported","49,029","100.00%","92.45%","4,003","100.00%","7.55%","53,032","100.00%"
"Not Reported","465","","","3","","","468",""
"Grand Total","49,494","","","49,032","","","53,500",""
