"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","405","0.86%","92.68%","32","0.84%","7.32%","437","0.86%"
"Twenties (20-29)","9,678","20.49%","93.07%","721","19.02%","6.93%","10,399","20.38%"
"Thirties (30-39)","14,699","31.12%","91.35%","1,391","36.69%","8.65%","16,090","31.53%"
"Forties (40-49)","11,275","23.87%","92.00%","980","25.85%","8.00%","12,255","24.02%"
"Fifties (50-59)","6,836","14.47%","93.43%","481","12.69%","6.57%","7,317","14.34%"
"Sixties (60-69)","3,424","7.25%","95.62%","157","4.14%","4.38%","3,581","7.02%"
"Seventy + (70 and above)","921","1.95%","96.95%","29","0.76%","3.05%","950","1.86%"
"Total Reported","47,238","100%","92.57%","3,791","100%","7.43%","51,029","100.0%"
"Not Reported","411","","","3","","","414",""
"Grand Total","47,649","","","3,794","","","51,443",""
