"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","326","0.76%","95.32%","16","0.55%","4.68%","342","0.74%"
"Twenties (20-29)","10,164","23.62%","93.76%","677","23.18%","6.24%","10,841","23.59%"
"Thirties (30-39)","13,321","30.96%","92.76%","1,039","35.57%","7.24%","14,360","31.25%"
"Forties (40-49)","9,729","22.61%","93.32%","696","23.83%","6.68%","10,425","22.69%"
"Fifties (50-59)","6,120","14.22%","94.42%","362","12.39%","5.58%","6,482","14.11%"
"Sixties (60-69)","2,701","6.28%","95.98%","113","3.87%","4.02%","2,814","6.12%"
"Seventy + (70 and above)","672","1.56%","97.39%","18","0.62%","2.61%","690","1.50%"
"Total Reported","43,033","100%","93.64%","2,921","100%","6.36%","45,954","100%"
"Not Reported","347","","","1","","","348",""
"Grand Total","43,380","","","2,922","","","46,302",""
