"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,031","1.92%","97.63%","25","0.64%","2.37%","1,056","1.83%"
"Twenties (20-29)","16,813","31.29%","93.91%","1,091","27.89%","6.09%","17,904","31.06%"
"Thirties (30-39)","15,617","29.06%","92.39%","1,287","32.90%","7.61%","16,904","29.32%"
"Forties (40-49)","11,506","21.41%","91.91%","1,013","25.89%","8.09%","12,519","21.72%"
"Fifties (50-59)","6,545","12.18%","94.21%","402","10.28%","5.79%","6,947","12.05%"
"Sixties (60-69)","1,682","3.13%","95.46%","80","2.04%","4.54%","1,762","3.06%"
"Seventy + (70 and above)","543","1.01%","97.49%","14","0.36%","2.51%","557","0.97%"
"Total Reported","53,737","100%","93.21%","3,912","100%","6.79%","57,649","100.0%"
"Not Reported","38","","","1","","","39",""
"Grand Total","53,775","","","3,913","","","57,688",""
