"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","996","2.02%","96.14%","40","1.07%","3.86%","1,036","1.95%"
"Twenties (20-29)","15,379","31.12%","93.57%","1,057","28.35%","6.43%","16,436","30.93%"
"Thirties (30-39)","14,597","29.54%","92.30%","1,218","32.66%","7.70%","15,815","29.76%"
"Forties (40-49)","11,531","23.33%","91.90%","1,017","27.27%","8.10%","12,548","23.61%"
"Fifties (50-59)","5,424","10.98%","94.15%","337","9.04%","5.85%","5,761","10.84%"
"Sixties (60-69)","1,262","2.55%","96.34%","48","1.29%","3.66%","1,310","2.46%"
"Seventy + (70 and above)","229","0.46%","95.02%","12","0.32%","4.98%","241","0.45%"
"Total Reported","49,418","100%","92.98%","3,729","100%","7.02%","53,147","100%"
"Not Reported","106","","","15","","","121",""
"Grand Total","49,524","","","3,744","","","53,268",""
