"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","788","1.56%","95.52%","37","0.94%","4.48%","825","1.51%"
"Twenties (20-29)","14,067","27.76%","93.31%","1,008","25.71%","6.69%","15,075","27.62%"
"Thirties (30-39)","15,363","30.32%","91.59%","1,411","35.99%","8.41%","16,774","30.73%"
"Forties (40-49)","10,378","20.48%","92.18%","881","22.47%","7.82%","11,259","20.63%"
"Fifties (50-59)","6,950","13.72%","93.79%","460","11.73%","6.21%","7,410","13.57%"
"Sixties (60-69)","2,460","4.86%","95.94%","104","2.65%","4.06%","2,564","4.70%"
"Seventy + (70 and above)","661","1.30%","97.21%","19","0.48%","2.79%","680","1.25%"
"Total Reported","50,667","100%","92.82%","3,920","100%","7.18%","54,587","100.0%"
"Not Reported","227","","","1","","","228",""
"Grand Total","50,894","","","3,921","","","54,815",""
