"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,832","5.76%","95.35%","138","3.88%","4.65%","2,970","5.63%"
"Twenties","15,727","31.98%","93.98%","1,007","28.29%","6.02%","16,734","31.73%"
"Thirties","14,125","28.72%","92.34%","1,171","32.90%","7.66%","15,296","29.00%"
"Forties","11,315","23.01%","92.13%","967","27.17%","7.87%","12,282","23.29%"
"Fifties","4,136","8.41%","94.58%","237","6.66%","5.42%","4,373","8.29%"
"Sixties","892","1.81%","96.54%","32","0.90%","3.46%","924","1.75%"
"Seventy +","157","0.32%","95.73%","7","0.20%","4.27%","164","0.31%"
"Total Reported","49,184","100%","93.25%","3,559","100%","6.75%","52,743","100%"
"Not Reported","1","","","0","","","1",""
"Grand Total","49,185","","","3,559","","","52,744",""
