"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","361","0.77%","91.86%","32","0.87%","8.14%","393","0.78%"
"Twenties (20-29)","9,659","20.72%","93.25%","699","19.00%","6.75%","10,358","20.60%"
"Thirties (30-39)","14,611","31.35%","91.57%","1,345","36.56%","8.43%","15,956","31.73%"
"Forties (40-49)","11,061","23.73%","92.01%","961","26.12%","7.99%","12,022","23.91%"
"Fifties (50-59)","6,735","14.45%","93.55%","464","12.61%","6.45%","7,199","14.32%"
"Sixties (60-69)","3,285","7.05%","95.58%","152","4.13%","4.42%","3,437","6.83%"
"Seventy + (70 and above)","897","1.92%","97.18%","26","0.71%","2.82%","923","1.84%"
"Total Reported","46,609","100%","92.68%","3,679","100%","7.32%","50,288","100.0%"
"Not Reported","404","","","3","","","407",""
"Grand Total","47,013","","","3,682","","","50,695",""
