"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","393","0.83%","94.70%","22","0.57%","5.30%","415","0.81%"
"Twenties (20-29)","9,475","19.94%","92.65%","752","19.62%","7.35%","10,227","19.92%"
"Thirties (30-39)","14,617","30.77%","91.36%","1,383","36.08%","8.64%","16,000","31.16%"
"Forties (40-49)","11,563","24.34%","92.36%","957","24.97%","7.64%","12,520","24.39%"
"Fifties (50-59)","6,890","14.50%","93.20%","503","13.12%","6.80%","7,393","14.40%"
"Sixties (60-69)","3,586","7.55%","95.12%","184","4.80%","4.88%","3,770","7.34%"
"Seventy + (70 and above)","985","2.07%","96.85%","32","0.83%","3.15%","1,017","1.98%"
"Total Reported","47,509","100%","92.53%","3,833","100%","7.47%","51,342","100%"
"Not Reported","431","","","3","","","434",""
"Grand Total","47,940","","","3,836","","","51,776",""
