"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","5,109","30.31%","92.27%","428","20.11%","7.73%","5,537","29.17%"
"Sex Crime","1,540","9.14%","97.47%","40","1.88%","2.53%","1,580","8.32%"
"Property
1 2 3 4 5 6","5,146","30.53%","85.00%","908","42.67%","15.00%","6,054","31.89%"
"Drug","3,494","20.73%","85.14%","610","28.67%","14.86%","4,104","21.62%"
"Habit/DUI","114",".68%","89.76%","13",".61%","10.24%","127",".67%"
"Other","1,451","8.61%","91.84%","129","6.06%","8.16%","1,580","8.32%"
"Total Reported","16,854","100%","88.79%","2,128","100%","11.21%","18,982","100%"
