"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"1   Violent","5,304","43.78%","91.86%","470","29.28%","8.14%","5,774","42.08%"
"2   Sex Crime","1,333","11.0%","97.87%","29","1.81%","2.13%","1,362","9.93%"
"3   Property","2,285","18.86%","83.46%","453","28.22%","16.54%","2,738","19.95%"
"4   Drug","1,624","13.4%","78.0%","458","28.54%","22.0%","2,082","15.17%"
"5   Habit/DUI","35","0.29%","76.09%","11","0.69%","23.91%","46","0.34%"
"6   Other","1,535","12.67%","89.3%","184","11.46%","10.7%","1,719","12.53%"
"Total Reported","12,116","100.00%","88.30%","1,605","100.00%","11.70%","13,721","100.00%"
