"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","3,917","24.07%","91.50%","364","15.62%","8.50%","4,281","23.01%"
"Sex Crime","1,230","7.56%","97.85%","27","1.16%","2.15%","1,257","6.76%"
"Property
1 2 3 4 5 6","5,041","30.97%","83.49%","997","42.79%","16.51%","6,038","32.45%"
"Drug","4,794","29.45%","85.20%","833","35.75%","14.80%","5,627","30.24%"
"Habit/DUI","103",".63%","93.64%","7",".30%","6.36%","110",".59%"
"Other","1,191","7.32%","92.11%","102","4.38%","7.89%","1,293","6.95%"
"Total Reported","16,276","100%","87.48%","2,330","100%","12.52%","18,606","100%"
