"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","5,736","35.13%","92.11%","491","22.36%","7.89%","6,227","33.62%"
"Sex Crime","1,455","8.91%","98.24%","26","1.18%","1.76%","1,481","8.00%"
"Property
1 2 3 4 5 6","4,460","27.32%","84.37%","826","37.61%","15.63%","5,286","28.54%"
"Drug","2,963","18.15%","81.09%","691","31.47%","18.91%","3,654","19.73%"
"Habit/DUI","95",".58%","95.00%","5",".23%","5.00%","100",".54%"
"Other","1,619","9.92%","91.16%","157","7.15%","8.84%","1,776","9.59%"
"Total Reported","16,328","100%","88.15%","2,196","100%","11.85%","18,524","100%"
