"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","4,533","24.40%","92.87%","348","15.28%","7.13%","4,881","23.40%"
"Sex Crime","1,324","7.13%","97.86%","29","1.27%","2.14%","1,353","6.49%"
"Property
1 2 3 4 5 6","5,958","32.07%","85.38%","1,018","44.71%","14.59%","6,978","33.46%"
"Drug","5,220","28.10%","87.07%","775","34.04%","12.93%","5,995","28.74%"
"Habit/DUI","129",".69%","94.85%","7",".31%","5.15%","136",".65%"
"Other","1,414","7.61%","93.39%","100","4.39%","6.61%","1,514","7.26%"
"Total Reported","18,578","100%","89.07%","2,277","100%","10.92%","20,857","100%"
