"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"1 
Violent","4,611","37.72%","93.04%","345","24.95%","6.96%","4,956","36.42%"
"2 
Sex Crime","1,350","11.04%","97.90%","29","2.10%","2.10%","1,379","10.13%"
"3 
Property","2,746","22.46%","87.76%","383","27.69%","12.24%","3,129","23.00%"
"4 
Drug","2,040","16.69%","81.18%","473","34.20%","18.82%","2,513","18.47%"
"5 
Habit/DUI","38",".31%","76.00%","12",".87%","24.00%","50",".37%"
"6 
Other","1,439","11.77%","91.08%","141","10.20%","8.92%","1,580","11.61%"
"Total Reported","12,224","100%","89.84%","1,383","100%","10.16%","13,607","100%"
