"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"1 
Violent","5,713","44.56%","91.12%","557","32.40%","8.88%","6,270","43.13%"
"2 
Sex Crime","1,406","10.97%","98.05%","28","1.63%","1.95%","1,434","9.86%"
"3 
Property","2,188","17.07%","82.53%","463","26.93%","17.47%","2,651","18.23%"
"4 
Drug","1,824","14.23%","79.55%","469","27.28%","20.45%","2,293","15.77%"
"5 
Habit/DUI","39",".30%","81.25%","9",".52%","18.75%","48",".33%"
"6 
Other","1,650","12.87%","89.53%","193","11.23%","10.47%","1,843","12.68%"
"Total Reported","12,820","100%","88.18%","1,719","100%","11.82%","14,539","100%"
