"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","4,824","24.85%","91.96%","420","18.57%","8.01%","5,246","24.20%"
"Sex Crime","1,420","7.31%","98.34%","24","1.06%","1.66%","1,444","6.66%"
"Property
1 2 3 4 5 6","6,339","32.65%","86.60%","980","43.32%","13.39%","7,320","33.76%"
"Drug","5,144","26.49%","87.62%","726","32.10%","12.37%","5,871","27.08%"
"Habit/DUI","119",".61%","94.44%","7",".31%","5.56%","126",".58%"
"Other","1,569","8.08%","93.73%","105","4.64%","6.27%","1,674","7.72%"
"Total Reported","19,415","100%","89.55%","2,262","100%","10.43%","21,681","100%"
