"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","5,286","27.87%","93.06%","394","19.02%","6.94%","5,680","27.00%"
"Sex Crime","1,503","7.92%","98.24%","27","1.30%","1.76%","1,530","7.27%"
"Property
1 2 3 4 5 6","6,288","33.15%","87.42%","905","43.70%","12.58%","7,193","34.19%"
"Drug","4,289","22.61%","87.25%","627","30.28%","12.75%","4,916","23.37%"
"Habit/DUI","98",".52%","91.59%","9",".43%","8.41%","107",".51%"
"Other","1,502","7.92%","93.23%","109","5.26%","6.77%","1,611","7.66%"
"Total Reported","18,966","100%","90.16%","2,071","100%","9.84%","21,037","100%"
