"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","3,701","22.47%","92.32%","308","15.08%","7.68%","4,009","21.66%"
"Sex Crime","1,007","6.11%","97.96%","21","1.03%","2.04%","1,028","5.55%"
"Property
1 2 3 4 5 6","5,377","32.65%","85.30%","927","45.40%","14.70%","6,304","34.05%"
"Drug","4,825","29.29%","87.71%","676","33.10%","12.29%","5,501","29.71%"
"Habit/DUI","179","1.09%","96.24%","7",".34%","3.76%","186","1.00%"
"Other","1,382","8.39%","93.06%","103","5.04%","6.94%","1,485","8.02%"
"Total Reported","16,471","100%","88.97%","2,042","100%","11.03%","18,513","100%"
