"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","4,382","24.05%","92.74%","343","15.56%","7.26%","4,725","23.13%"
"Sex Crime","1,256","6.89%","98.28%","22","1.00%","1.72%","1,278","6.26%"
"Property
1 2 3 4 5 6","5,673","31.14%","85.54%","959","43.51%","14.46%","6,632","32.47%"
"Drug","5,304","29.11%","87.38%","766","34.75%","12.62%","6,070","29.72%"
"Habit/DUI","122",".67%","93.13%","9",".41%","6.87%","131",".64%"
"Other","1,483","8.14%","93.39%","105","4.76%","6.61%","1,588","7.78%"
"Total Reported","18,220","100%","89.21%","2,204","100%","10.79%","20,424","100%"
