"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","5,451","30.47%","91.98%","475","21.68%","8.02%","5,926","29.51%"
"Sex Crime","1,698","9.49%","97.59%","42","1.92%","2.41%","1,740","8.66%"
"Property
1 2 3 4 5 6","5,409","30.23%","85.73%","900","41.08%","14.27%","6,309","31.42%"
"Drug","3,750","20.96%","85.75%","623","28.43%","14.25%","4,373","21.78%"
"Habit/DUI","96",".54%","82.76%","20",".91%","17.24%","116",".58%"
"Other","1,487","8.31%","91.90%","131","5.98%","8.10%","1,618","8.06%"
"Total Reported","17,891","100%","89.09%","2,191","100%","10.91%","20,082","100%"
