"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","3,489","21.57%","91.57%","321","16.84%","8.43%","3,810","21.07%"
"Sex Crime","869","5.37%","98.30%","15",".79%","1.70%","884","4.89%"
"Property
1 2 3 4 5 6","5,533","34.21%","85.70%","923","48.43%","14.30%","6,456","35.71%"
"Drug","4,722","29.20%","89.58%","549","28.80%","10.42%","5,271","29.16%"
"Habit/DUI","214","1.32%","95.96%","9",".47%","4.04%","223","1.23%"
"Other","1,346","8.32%","93.80%","89","4.67%","6.20%","1,435","7.94%"
"Total Reported","16,173","100%","89.46%","1,906","100%","10.54%","18,079","100%"
