"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"1 
Violent","5,364","40.98%","91.54%","496","28.57%","8.46%","5,860","39.53%"
"2 
Sex Crime","1,568","11.98%","97.88%","34","1.96%","2.12%","1,602","10.81%"
"3 
Property","2,542","19.42%","84.54%","465","26.79%","15.46%","3,007","20.28%"
"4 
Drug","1,959","14.97%","78.58%","534","30.76%","21.42%","2,493","16.82%"
"5 
Habit/DUI","50",".38%","86.21%","8",".46%","13.79%","58",".39%"
"6 
Other","1,605","12.26%","88.97%","199","11.46%","11.03%","1,804","12.17%"
"Total Reported","13,088","100%","88.29%","1,736","100%","11.71%","14,824","100%"
