"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","3,918","20.75%","90.86%","394","15.08%","9.14%","4,312","20.06%"
"Sex Crime","1,279","6.77%","98.08%","25",".96%","1.92%","1,304","6.07%"
"Property
1 2 3 4 5 6","5,844","30.95%","83.91%","1,121","42.92%","16.09%","6,965","32.41%"
"Drug","6,037","31.97%","86.50%","942","36.06%","13.50%","6,979","32.47%"
"Habit/DUI","147",".78%","95.45%","7",".27%","4.55%","154",".72%"
"Other","1,656","8.77%","93.09%","123","4.71%","6.91%","1,779","8.28%"
"Total Reported","18,881","100%","87.85%","2,612","100%","12.15%","21,493","100%"
