"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","5,016","32.74%","92.60%","401","20.66%","7.40%","5,417","31.38%"
"Sex Crime","1,428","9.32%","97.47%","37","1.91%","2.53%","1,465","8.49%"
"Property
1 2 3 4 5 6","4,453","29.06%","85.27%","769","39.62%","14.73%","5,222","30.25%"
"Drug","2,858","18.65%","83.40%","569","29.31%","16.60%","3,427","19.85%"
"Habit/DUI","70",".46%","86.42%","11",".57%","13.58%","81",".47%"
"Other","1,497","9.77%","90.67%","154","7.93%","9.33%","1,651","9.56%"
"Total Reported","15,322","100%","88.76%","1,941","100%","11.24%","17,263","100%"
