"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","5,118","29.17%","92.50%","415","19.23%","7.50%","5,533","28.08%"
"Sex Crime","1,514","8.63%","97.74%","35","1.62%","2.26%","1,549","7.86%"
"Property
1 2 3 4 5 6","5,698","32.47%","85.71%","950","44.02%","14.29%","6,648","33.74%"
"Drug","3,705","21.11%","85.74%","616","28.54%","14.26%","4,321","21.93%"
"Habit/DUI","91",".52%","86.67%","14",".65%","13.33%","105",".53%"
"Other","1,422","8.10%","91.74%","128","5.93%","8.26%","1,550","7.87%"
"Total Reported","17,548","100%","89.05%","2,158","100%","10.95%","19,706","100%"
