"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","4,917","28.49%","93.21%","358","18.24%","6.79%","5,275","27.45%"
"Sex Crime","1,494","8.66%","98.10%","29","1.48%","1.90%","1,523","7.92%"
"Property
1 2 3 4 5 6","5,656","32.78%","86.27%","900","45.85%","13.73%","6,556","34.11%"
"Drug","3,732","21.63%","86.69%","573","29.19%","13.31%","4,305","22.40%"
"Habit/DUI","99",".57%","96.12%","4",".20%","3.88%","103",".54%"
"Other","1,359","7.88%","93.21%","99","5.04%","6.79%","1,458","7.59%"
"Total Reported","17,257","100%","89.79%","1,963","100%","10.21%","19,220","100%"
