"Age At Admission","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"41","1,163","2.38%","91.36%","110","2.75%","8.64%","1,273","2.41%"
"42","1,021","2.09%","91.32%","97","2.43%","8.68%","1,118","2.12%"
"43","986","2.02%","91.38%","93","2.33%","8.62%","1,079","2.04%"
"44","940","1.92%","92.16%","80","2.0%","7.84%","1,020","1.93%"
"45","882","1.81%","90.74%","90","2.25%","9.26%","972","1.84%"
"46","829","1.7%","90.5%","87","2.18%","9.5%","916","1.73%"
"47","727","1.49%","90.99%","72","1.8%","9.01%","799","1.51%"
"48","649","1.33%","90.9%","65","1.63%","9.1%","714","1.35%"
"49","621","1.27%","92.27%","52","1.3%","7.73%","673","1.27%"
"50","580","1.19%","92.5%","47","1.18%","7.5%","627","1.19%"
"51","516","1.06%","91.01%","51","1.28%","8.99%","567","1.07%"
"52","471","0.96%","92.35%","39","0.98%","7.65%","510","0.97%"
"53","494","1.01%","90.48%","52","1.3%","9.52%","546","1.03%"
"54","431","0.88%","92.09%","37","0.93%","7.91%","468","0.89%"
"55","429","0.88%","92.06%","37","0.93%","7.94%","466","0.88%"
"56","348","0.71%","92.06%","30","0.75%","7.94%","378","0.72%"
"57","371","0.76%","93.45%","26","0.65%","6.55%","397","0.75%"
"58","308","0.63%","93.62%","21","0.53%","6.38%","329","0.62%"
"59","321","0.66%","91.45%","30","0.75%","8.55%","351","0.66%"
"60","237","0.49%","91.15%","23","0.58%","8.85%","260","0.49%"
"61","225","0.46%","91.46%","21","0.53%","8.54%","246","0.47%"
"62","207","0.42%","93.24%","15","0.38%","6.76%","222","0.42%"
"63","178","0.36%","94.18%","11","0.28%","5.82%","189","0.36%"
"64","158","0.32%","94.61%","9","0.23%","5.39%","167","0.32%"
"65","134","0.27%","95.04%","7","0.18%","4.96%","141","0.27%"
"66","106","0.22%","94.64%","6","0.15%","5.36%","112","0.21%"
"67","77","0.16%","95.06%","4","0.1%","4.94%","81","0.15%"
"68","71","0.15%","95.95%","3","0.08%","4.05%","74","0.14%"
