"","Male","","","Female","","","Total",""
"Age At Admission","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"13","1","0.01%","100.0%","","","","1","0.01%"
"14","4","0.01%","100.0%","","","","4","0.01%"
"15","23","0.05%","100.0%","","","","23","0.04%"
"16","81","0.16%","97.59%","2","0.05%","2.41%","83","0.16%"
"17","366","0.74%","94.09%","23","0.57%","5.91%","389","0.73%"
"18","1,065","2.16%","96.99%","33","0.82%","3.01%","1,098","2.06%"
"19","1,418","2.88%","96.46%","52","1.29%","3.54%","1,470","2.76%"
"20","1,681","3.41%","95.73%","75","1.85%","4.27%","1,756","3.29%"
"21","1,693","3.43%","95.92%","72","1.78%","4.08%","1,765","3.31%"
"22","1,768","3.59%","93.79%","117","2.89%","6.21%","1,885","3.53%"
"23","1,743","3.54%","93.86%","114","2.82%","6.14%","1,857","3.48%"
"24","1,704","3.46%","92.71%","134","3.31%","7.29%","1,838","3.45%"
"25","1,661","3.37%","93.05%","124","3.06%","6.95%","1,785","3.35%"
"26","1,653","3.35%","93.6%","113","2.79%","6.4%","1,766","3.31%"
"27","1,584","3.21%","93.01%","119","2.94%","6.99%","1,703","3.19%"
"28","1,558","3.16%","92.68%","123","3.04%","7.32%","1,681","3.15%"
"29","1,600","3.25%","91.27%","153","3.78%","8.73%","1,753","3.29%"
"30","1,556","3.16%","91.96%","136","3.36%","8.04%","1,692","3.17%"
"31","1,516","3.08%","91.66%","138","3.41%","8.34%","1,654","3.1%"
"32","1,532","3.11%","89.7%","176","4.35%","10.3%","1,708","3.2%"
"33","1,573","3.19%","90.82%","159","3.93%","9.18%","1,732","3.25%"
"34","1,520","3.08%","90.8%","154","3.81%","9.2%","1,674","3.14%"
"35","1,497","3.04%","92.18%","127","3.14%","7.82%","1,624","3.04%"
"36","1,395","2.83%","91.06%","137","3.39%","8.94%","1,532","2.87%"
"37","1,308","2.65%","89.47%","154","3.81%","10.53%","1,462","2.74%"
"38","1,311","2.66%","91.42%","123","3.04%","8.58%","1,434","2.69%"
"39","1,245","2.53%","90.88%","125","3.09%","9.12%","1,370","2.57%"
"40","1,176","2.39%","91.8%","105","2.6%","8.2%","1,281","2.4%"
