"Age At Admission","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"41","1,185","2.39%","91.51%","110","2.74%","8.49%","1,295","2.42%"
"42","1,051","2.12%","91.79%","94","2.35%","8.21%","1,145","2.14%"
"43","987","1.99%","91.14%","96","2.4%","8.86%","1,083","2.02%"
"44","985","1.99%","91.2%","95","2.37%","8.8%","1,080","2.02%"
"45","911","1.84%","90.83%","92","2.3%","9.17%","1,003","1.87%"
"46","867","1.75%","90.41%","92","2.3%","9.59%","959","1.79%"
"47","770","1.55%","91.67%","70","1.75%","8.33%","840","1.57%"
"48","699","1.41%","92.22%","59","1.47%","7.78%","758","1.41%"
"49","645","1.3%","91.88%","57","1.42%","8.12%","702","1.31%"
"50","587","1.18%","93.77%","39","0.97%","6.23%","626","1.17%"
"51","521","1.05%","90.61%","54","1.35%","9.39%","575","1.07%"
"52","482","0.97%","93.77%","32","0.8%","6.23%","514","0.96%"
"53","481","0.97%","91.1%","47","1.17%","8.9%","528","0.99%"
"54","469","0.95%","91.78%","42","1.05%","8.22%","511","0.95%"
"55","458","0.92%","93.09%","34","0.85%","6.91%","492","0.92%"
"56","357","0.72%","90.15%","39","0.97%","9.85%","396","0.74%"
"57","377","0.76%","92.63%","30","0.75%","7.37%","407","0.76%"
"58","305","0.62%","92.71%","24","0.6%","7.29%","329","0.61%"
"59","320","0.65%","91.43%","30","0.75%","8.57%","350","0.65%"
"60","253","0.51%","92.34%","21","0.52%","7.66%","274","0.51%"
"61","255","0.51%","92.39%","21","0.52%","7.61%","276","0.52%"
"62","225","0.45%","94.94%","12","0.3%","5.06%","237","0.44%"
"63","191","0.39%","92.72%","15","0.37%","7.28%","206","0.38%"
"64","173","0.35%","94.54%","10","0.25%","5.46%","183","0.34%"
"65","157","0.32%","96.32%","6","0.15%","3.68%","163","0.3%"
"66","124","0.25%","94.66%","7","0.17%","5.34%","131","0.24%"
"67","86","0.17%","95.56%","4","0.1%","4.44%","90","0.17%"
"68","76","0.15%","93.83%","5","0.12%","6.17%","81","0.15%"
