"Age At Admission","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"13","1","0.01%","100.0%","","","","1","0.01%"
"14","4","0.01%","100.0%","","","","4","0.01%"
"15","23","0.05%","100.0%","","","","23","0.04%"
"16","76","0.15%","97.44%","2","0.05%","2.56%","78","0.15%"
"17","362","0.73%","94.03%","23","0.57%","5.97%","385","0.72%"
"18","1,067","2.17%","97.0%","33","0.81%","3.0%","1,100","2.06%"
"19","1,404","2.85%","96.49%","51","1.26%","3.51%","1,455","2.73%"
"20","1,677","3.4%","95.88%","72","1.77%","4.12%","1,749","3.28%"
"21","1,690","3.43%","95.86%","73","1.8%","4.14%","1,763","3.31%"
"22","1,775","3.6%","93.92%","115","2.83%","6.08%","1,890","3.54%"
"23","1,738","3.53%","93.95%","112","2.76%","6.05%","1,850","3.47%"
"24","1,696","3.44%","92.83%","131","3.23%","7.17%","1,827","3.43%"
"25","1,659","3.37%","93.1%","123","3.03%","6.9%","1,782","3.34%"
"26","1,645","3.34%","93.41%","116","2.86%","6.59%","1,761","3.3%"
"27","1,577","3.2%","92.98%","119","2.93%","7.02%","1,696","3.18%"
"28","1,560","3.17%","92.58%","125","3.08%","7.42%","1,685","3.16%"
"29","1,579","3.2%","90.85%","159","3.92%","9.15%","1,738","3.26%"
"30","1,537","3.12%","92.09%","132","3.25%","7.91%","1,669","3.13%"
"31","1,517","3.08%","91.83%","135","3.32%","8.17%","1,652","3.1%"
"32","1,529","3.1%","89.73%","175","4.31%","10.27%","1,704","3.19%"
"33","1,555","3.16%","90.67%","160","3.94%","9.33%","1,715","3.22%"
"34","1,528","3.1%","90.84%","154","3.79%","9.16%","1,682","3.15%"
"35","1,498","3.04%","91.73%","135","3.32%","8.27%","1,633","3.06%"
"36","1,377","2.79%","90.24%","149","3.67%","9.76%","1,526","2.86%"
"37","1,313","2.66%","89.38%","156","3.84%","10.62%","1,469","2.75%"
"38","1,316","2.67%","91.39%","124","3.05%","8.61%","1,440","2.7%"
"39","1,257","2.55%","90.96%","125","3.08%","9.04%","1,382","2.59%"
"40","1,172","2.38%","91.71%","106","2.61%","8.29%","1,278","2.4%"
