"Age At Admission","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"41","1,182","2.42%","91.42%","111","2.77%","8.58%","1,293","2.44%"
"42","1,023","2.09%","91.18%","99","2.47%","8.82%","1,122","2.12%"
"43","987","2.02%","91.14%","96","2.4%","8.86%","1,083","2.05%"
"44","938","1.92%","91.78%","84","2.1%","8.22%","1,022","1.93%"
"45","878","1.8%","90.7%","90","2.25%","9.3%","968","1.83%"
"46","825","1.69%","90.26%","89","2.22%","9.74%","914","1.73%"
"47","728","1.49%","90.66%","75","1.87%","9.34%","803","1.52%"
"48","640","1.31%","90.91%","64","1.6%","9.09%","704","1.33%"
"49","615","1.26%","92.2%","52","1.3%","7.8%","667","1.26%"
"50","589","1.2%","92.18%","50","1.25%","7.82%","639","1.21%"
"51","509","1.04%","90.89%","51","1.27%","9.11%","560","1.06%"
"52","475","0.97%","92.41%","39","0.97%","7.59%","514","0.97%"
"53","496","1.01%","91.01%","49","1.22%","8.99%","545","1.03%"
"54","434","0.89%","92.54%","35","0.87%","7.46%","469","0.89%"
"55","430","0.88%","92.47%","35","0.87%","7.53%","465","0.88%"
"56","348","0.71%","91.82%","31","0.77%","8.18%","379","0.72%"
"57","367","0.75%","93.15%","27","0.67%","6.85%","394","0.74%"
"58","312","0.64%","93.98%","20","0.5%","6.02%","332","0.63%"
"59","329","0.67%","91.9%","29","0.72%","8.1%","358","0.68%"
"60","235","0.48%","90.73%","24","0.6%","9.27%","259","0.49%"
"61","225","0.46%","91.84%","20","0.5%","8.16%","245","0.46%"
"62","204","0.42%","93.15%","15","0.37%","6.85%","219","0.41%"
"63","177","0.36%","92.67%","14","0.35%","7.33%","191","0.36%"
"64","152","0.31%","95.0%","8","0.2%","5.0%","160","0.3%"
"65","135","0.28%","95.07%","7","0.17%","4.93%","142","0.27%"
"66","110","0.23%","94.02%","7","0.17%","5.98%","117","0.22%"
"67","78","0.16%","92.86%","6","0.15%","7.14%","84","0.16%"
"68","74","0.15%","96.1%","3","0.07%","3.9%","77","0.15%"
