"Age At Admission","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"69","71","0.14%","95.95%","3","0.07%","4.05%","74","0.14%"
"70","51","0.1%","98.08%","1","0.02%","1.92%","52","0.1%"
"71","54","0.11%","96.43%","2","0.05%","3.57%","56","0.1%"
"72","39","0.08%","100.0%","","","","39","0.07%"
"73","20","0.04%","95.24%","1","0.02%","4.76%","21","0.04%"
"74","28","0.06%","96.55%","1","0.02%","3.45%","29","0.05%"
"75","18","0.04%","100.0%","","","","18","0.03%"
"76","16","0.03%","100.0%","","","","16","0.03%"
"77","9","0.02%","100.0%","","","","9","0.02%"
"78","13","0.03%","100.0%","","","","13","0.02%"
"79","7","0.01%","87.5%","1","0.02%","12.5%","8","0.01%"
"80","6","0.01%","100.0%","","","","6","0.01%"
"81","8","0.02%","100.0%","","","","8","0.01%"
"82","4","0.01%","100.0%","","","","4","0.01%"
"83","3","0.01%","100.0%","","","","3","0.01%"
"84","4","0.01%","100.0%","","","","4","0.01%"
"86","2","0.01%","100.0%","","","","2","0.01%"
"Total Reported","49,493","100.00%","92.51%","4,006","100.00%","7.49%","53,499","100.00%"
