"Age At Admission","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"69","76","0.15%","97.44%","2","0.05%","2.56%","78","0.15%"
"70","49","0.1%","98.0%","1","0.02%","2.0%","50","0.09%"
"71","53","0.11%","96.36%","2","0.05%","3.64%","55","0.1%"
"72","37","0.07%","100.0%","","","","37","0.07%"
"73","21","0.04%","95.45%","1","0.02%","4.55%","22","0.04%"
"74","27","0.05%","96.43%","1","0.02%","3.57%","28","0.05%"
"75","20","0.04%","100.0%","","","","20","0.04%"
"76","16","0.03%","100.0%","","","","16","0.03%"
"77","9","0.02%","100.0%","","","","9","0.02%"
"78","12","0.02%","100.0%","","","","12","0.02%"
"79","7","0.01%","87.5%","1","0.02%","12.5%","8","0.01%"
"80","7","0.01%","100.0%","","","","7","0.01%"
"81","8","0.02%","100.0%","","","","8","0.01%"
"82","4","0.01%","100.0%","","","","4","0.01%"
"83","3","0.01%","100.0%","","","","3","0.01%"
"84","3","0.01%","100.0%","","","","3","0.01%"
"86","3","0.01%","100.0%","","","","3","0.01%"
"Total Reported","49,492","100.00%","92.49%","4,021","100.00%","7.51%","53,513","100.00%"
