"Age At Admission","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"13","1","0.01%","100.0%","","","","1","0.01%"
"14","4","0.01%","100.0%","","","","4","0.01%"
"15","22","0.04%","100.0%","","","","22","0.04%"
"16","76","0.15%","97.44%","2","0.05%","2.56%","78","0.15%"
"17","345","0.7%","93.75%","23","0.57%","6.25%","368","0.69%"
"18","1,047","2.13%","97.03%","32","0.79%","2.97%","1,079","2.03%"
"19","1,388","2.82%","96.32%","53","1.3%","3.68%","1,441","2.7%"
"20","1,665","3.38%","95.97%","70","1.72%","4.03%","1,735","3.26%"
"21","1,674","3.4%","95.82%","73","1.8%","4.18%","1,747","3.28%"
"22","1,757","3.57%","93.86%","115","2.83%","6.14%","1,872","3.51%"
"23","1,732","3.52%","94.03%","110","2.71%","5.97%","1,842","3.46%"
"24","1,694","3.44%","92.92%","129","3.18%","7.08%","1,823","3.42%"
"25","1,652","3.36%","93.12%","122","3.0%","6.88%","1,774","3.33%"
"26","1,628","3.31%","93.4%","115","2.83%","6.6%","1,743","3.27%"
"27","1,575","3.2%","92.92%","120","2.95%","7.08%","1,695","3.18%"
"28","1,560","3.17%","92.75%","122","3.0%","7.25%","1,682","3.16%"
"29","1,566","3.18%","91.1%","153","3.77%","8.9%","1,719","3.23%"
"30","1,526","3.1%","91.87%","135","3.32%","8.13%","1,661","3.12%"
"31","1,522","3.09%","91.69%","138","3.4%","8.31%","1,660","3.12%"
"32","1,513","3.07%","89.47%","178","4.38%","10.53%","1,691","3.17%"
"33","1,548","3.15%","90.42%","164","4.04%","9.58%","1,712","3.21%"
"34","1,542","3.13%","91.08%","151","3.72%","8.92%","1,693","3.18%"
"35","1,503","3.05%","91.26%","144","3.55%","8.74%","1,647","3.09%"
"36","1,396","2.84%","90.47%","147","3.62%","9.53%","1,543","2.9%"
"37","1,344","2.73%","89.18%","163","4.01%","10.82%","1,507","2.83%"
"38","1,331","2.7%","91.79%","119","2.93%","8.21%","1,450","2.72%"
"39","1,267","2.57%","90.95%","126","3.1%","9.05%","1,393","2.61%"
"40","1,175","2.39%","91.8%","105","2.58%","8.2%","1,280","2.4%"
