"Age At Admission","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"13","1","0.01%","100.0%","","","","1","0.01%"
"14","4","0.01%","100.0%","","","","4","0.01%"
"15","22","0.04%","100.0%","","","","22","0.04%"
"16","75","0.15%","97.4%","2","0.05%","2.6%","77","0.14%"
"17","351","0.71%","94.1%","22","0.55%","5.9%","373","0.7%"
"18","1,025","2.07%","97.16%","30","0.75%","2.84%","1,055","1.97%"
"19","1,409","2.85%","96.05%","58","1.45%","3.95%","1,467","2.74%"
"20","1,674","3.38%","96.1%","68","1.7%","3.9%","1,742","3.26%"
"21","1,683","3.4%","95.9%","72","1.8%","4.1%","1,755","3.28%"
"22","1,771","3.58%","94.15%","110","2.75%","5.85%","1,881","3.52%"
"23","1,714","3.46%","94.12%","107","2.67%","5.88%","1,821","3.4%"
"24","1,695","3.42%","92.88%","130","3.25%","7.12%","1,825","3.41%"
"25","1,660","3.35%","93.1%","123","3.07%","6.9%","1,783","3.33%"
"26","1,621","3.28%","93.16%","119","2.97%","6.84%","1,740","3.25%"
"27","1,553","3.14%","92.5%","126","3.15%","7.5%","1,679","3.14%"
"28","1,539","3.11%","92.49%","125","3.12%","7.51%","1,664","3.11%"
"29","1,579","3.19%","91.96%","138","3.44%","8.04%","1,717","3.21%"
"30","1,516","3.06%","92.05%","131","3.27%","7.95%","1,647","3.08%"
"31","1,546","3.12%","91.86%","137","3.42%","8.14%","1,683","3.15%"
"32","1,529","3.09%","89.52%","179","4.47%","10.48%","1,708","3.19%"
"33","1,564","3.16%","90.98%","155","3.87%","9.02%","1,719","3.21%"
"34","1,533","3.1%","91.2%","148","3.69%","8.8%","1,681","3.14%"
"35","1,511","3.05%","91.63%","138","3.44%","8.37%","1,649","3.08%"
"36","1,407","2.84%","91.25%","135","3.37%","8.75%","1,542","2.88%"
"37","1,361","2.75%","89.78%","155","3.87%","10.22%","1,516","2.83%"
"38","1,341","2.71%","92.42%","110","2.75%","7.58%","1,451","2.71%"
"39","1,277","2.58%","90.83%","129","3.22%","9.17%","1,406","2.63%"
"40","1,196","2.42%","91.51%","111","2.77%","8.49%","1,307","2.44%"
