"Age At Admission","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"13","1","0.01%","100.0%","","","","1","0.01%"
"14","4","0.01%","100.0%","","","","4","0.01%"
"15","23","0.05%","100.0%","","","","23","0.04%"
"16","80","0.16%","97.56%","2","0.05%","2.44%","82","0.16%"
"17","377","0.77%","94.01%","24","0.6%","5.99%","401","0.76%"
"18","1,058","2.17%","96.89%","34","0.85%","3.11%","1,092","2.07%"
"19","1,417","2.9%","96.53%","51","1.28%","3.47%","1,468","2.78%"
"20","1,668","3.42%","95.64%","76","1.9%","4.36%","1,744","3.3%"
"21","1,678","3.44%","95.83%","73","1.83%","4.17%","1,751","3.31%"
"22","1,788","3.66%","93.96%","115","2.88%","6.04%","1,903","3.6%"
"23","1,735","3.55%","94.14%","108","2.7%","5.86%","1,843","3.49%"
"24","1,696","3.47%","92.53%","137","3.43%","7.47%","1,833","3.47%"
"25","1,652","3.38%","93.12%","122","3.05%","6.88%","1,774","3.36%"
"26","1,651","3.38%","93.65%","112","2.8%","6.35%","1,763","3.34%"
"27","1,581","3.24%","92.78%","123","3.08%","7.22%","1,704","3.23%"
"28","1,573","3.22%","92.91%","120","3.0%","7.09%","1,693","3.2%"
"29","1,581","3.24%","91.39%","149","3.73%","8.61%","1,730","3.27%"
"30","1,556","3.19%","92.13%","133","3.33%","7.87%","1,689","3.2%"
"31","1,537","3.15%","91.65%","140","3.51%","8.35%","1,677","3.17%"
"32","1,517","3.11%","89.6%","176","4.41%","10.4%","1,693","3.2%"
"33","1,558","3.19%","90.53%","163","4.08%","9.47%","1,721","3.26%"
"34","1,504","3.08%","90.82%","152","3.81%","9.18%","1,656","3.13%"
"35","1,451","2.97%","92.07%","125","3.13%","7.93%","1,576","2.98%"
"36","1,368","2.8%","91.08%","134","3.36%","8.92%","1,502","2.84%"
"37","1,300","2.66%","90.09%","143","3.58%","9.91%","1,443","2.73%"
"38","1,292","2.65%","91.31%","123","3.08%","8.69%","1,415","2.68%"
"39","1,246","2.55%","90.75%","127","3.18%","9.25%","1,373","2.6%"
"40","1,156","2.37%","91.46%","108","2.7%","8.54%","1,264","2.39%"
