"Age At Admission","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"13","1","0.01%","100.0%","","","","1","0.01%"
"14","4","0.01%","100.0%","","","","4","0.01%"
"15","22","0.04%","100.0%","","","","22","0.04%"
"16","78","0.16%","97.5%","2","0.05%","2.5%","80","0.15%"
"17","361","0.73%","94.26%","22","0.54%","5.74%","383","0.72%"
"18","1,053","2.13%","96.96%","33","0.81%","3.04%","1,086","2.03%"
"19","1,405","2.85%","96.3%","54","1.32%","3.7%","1,459","2.73%"
"20","1,683","3.41%","95.84%","73","1.79%","4.16%","1,756","3.29%"
"21","1,669","3.38%","95.92%","71","1.74%","4.08%","1,740","3.26%"
"22","1,788","3.62%","93.61%","122","2.99%","6.39%","1,910","3.57%"
"23","1,744","3.53%","93.86%","114","2.79%","6.14%","1,858","3.48%"
"24","1,700","3.45%","92.95%","129","3.16%","7.05%","1,829","3.42%"
"25","1,661","3.37%","93.16%","122","2.99%","6.84%","1,783","3.34%"
"26","1,637","3.32%","93.49%","114","2.79%","6.51%","1,751","3.28%"
"27","1,573","3.19%","92.91%","120","2.94%","7.09%","1,693","3.17%"
"28","1,566","3.17%","92.77%","122","2.99%","7.23%","1,688","3.16%"
"29","1,570","3.18%","90.96%","156","3.82%","9.04%","1,726","3.23%"
"30","1,544","3.13%","91.96%","135","3.31%","8.04%","1,679","3.14%"
"31","1,524","3.09%","91.75%","137","3.36%","8.25%","1,661","3.11%"
"32","1,518","3.08%","89.45%","179","4.38%","10.55%","1,697","3.18%"
"33","1,554","3.15%","90.72%","159","3.89%","9.28%","1,713","3.21%"
"34","1,533","3.11%","90.98%","152","3.72%","9.02%","1,685","3.15%"
"35","1,499","3.04%","91.46%","140","3.43%","8.54%","1,639","3.07%"
"36","1,382","2.8%","90.03%","153","3.75%","9.97%","1,535","2.87%"
"37","1,343","2.72%","89.47%","158","3.87%","10.53%","1,501","2.81%"
"38","1,331","2.7%","91.6%","122","2.99%","8.4%","1,453","2.72%"
"39","1,258","2.55%","90.7%","129","3.16%","9.3%","1,387","2.6%"
"40","1,182","2.4%","91.7%","107","2.62%","8.3%","1,289","2.41%"
