"Age At Admission","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"41","1,170","2.37%","90.84%","118","2.91%","9.16%","1,288","2.41%"
"42","1,054","2.14%","91.81%","94","2.31%","8.19%","1,148","2.15%"
"43","996","2.02%","91.38%","94","2.31%","8.62%","1,090","2.04%"
"44","967","1.96%","91.31%","92","2.27%","8.69%","1,059","1.99%"
"45","906","1.84%","90.78%","92","2.27%","9.22%","998","1.87%"
"46","851","1.73%","90.24%","92","2.27%","9.76%","943","1.77%"
"47","750","1.52%","91.46%","70","1.72%","8.54%","820","1.54%"
"48","666","1.35%","90.24%","72","1.77%","9.76%","738","1.38%"
"49","638","1.29%","92.33%","53","1.31%","7.67%","691","1.3%"
"50","584","1.19%","92.55%","47","1.16%","7.45%","631","1.18%"
"51","523","1.06%","91.43%","49","1.21%","8.57%","572","1.07%"
"52","475","0.96%","92.77%","37","0.91%","7.23%","512","0.96%"
"53","508","1.03%","90.23%","55","1.35%","9.77%","563","1.06%"
"54","432","0.88%","90.95%","43","1.06%","9.05%","475","0.89%"
"55","442","0.9%","92.86%","34","0.84%","7.14%","476","0.89%"
"56","352","0.71%","91.91%","31","0.76%","8.09%","383","0.72%"
"57","378","0.77%","93.8%","25","0.62%","6.2%","403","0.76%"
"58","316","0.64%","93.77%","21","0.52%","6.23%","337","0.63%"
"59","323","0.66%","91.76%","29","0.71%","8.24%","352","0.66%"
"60","250","0.51%","91.24%","24","0.59%","8.76%","274","0.51%"
"61","238","0.48%","92.25%","20","0.49%","7.75%","258","0.48%"
"62","221","0.45%","94.04%","14","0.34%","5.96%","235","0.44%"
"63","181","0.37%","93.3%","13","0.32%","6.7%","194","0.36%"
"64","168","0.34%","95.45%","8","0.2%","4.55%","176","0.33%"
"65","144","0.29%","96.0%","6","0.15%","4.0%","150","0.28%"
"66","117","0.24%","95.12%","6","0.15%","4.88%","123","0.23%"
"67","86","0.17%","95.56%","4","0.1%","4.44%","90","0.17%"
"68","71","0.14%","93.42%","5","0.12%","6.58%","76","0.14%"
