"Age At Admission","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"13","1","0.01%","100.0%","","","","1","0.01%"
"14","4","0.01%","100.0%","","","","4","0.01%"
"15","23","0.05%","100.0%","","","","23","0.04%"
"16","81","0.17%","97.59%","2","0.05%","2.41%","83","0.16%"
"17","379","0.78%","94.28%","23","0.57%","5.72%","402","0.76%"
"18","1,054","2.16%","96.88%","34","0.85%","3.13%","1,088","2.06%"
"19","1,429","2.92%","96.55%","51","1.27%","3.45%","1,480","2.8%"
"20","1,665","3.41%","95.63%","76","1.9%","4.37%","1,741","3.29%"
"21","1,682","3.44%","95.73%","75","1.87%","4.27%","1,757","3.32%"
"22","1,802","3.69%","94.15%","112","2.79%","5.85%","1,914","3.62%"
"23","1,745","3.57%","94.07%","110","2.74%","5.93%","1,855","3.51%"
"24","1,708","3.49%","92.57%","137","3.42%","7.43%","1,845","3.49%"
"25","1,645","3.37%","93.04%","123","3.07%","6.96%","1,768","3.34%"
"26","1,661","3.4%","93.74%","111","2.77%","6.26%","1,772","3.35%"
"27","1,584","3.24%","92.69%","125","3.12%","7.31%","1,709","3.23%"
"28","1,584","3.24%","92.9%","121","3.02%","7.1%","1,705","3.22%"
"29","1,574","3.22%","91.51%","146","3.64%","8.49%","1,720","3.25%"
"30","1,564","3.2%","92.0%","136","3.39%","8.0%","1,700","3.21%"
"31","1,551","3.17%","91.88%","137","3.42%","8.12%","1,688","3.19%"
"32","1,517","3.1%","89.82%","172","4.29%","10.18%","1,689","3.19%"
"33","1,548","3.17%","90.47%","163","4.07%","9.53%","1,711","3.24%"
"34","1,499","3.07%","90.9%","150","3.74%","9.1%","1,649","3.12%"
"35","1,449","2.96%","92.06%","125","3.12%","7.94%","1,574","2.98%"
"36","1,361","2.78%","90.79%","138","3.44%","9.21%","1,499","2.83%"
"37","1,293","2.65%","90.04%","143","3.57%","9.96%","1,436","2.72%"
"38","1,288","2.63%","91.02%","127","3.17%","8.98%","1,415","2.68%"
"39","1,242","2.54%","90.99%","123","3.07%","9.01%","1,365","2.58%"
"40","1,150","2.35%","91.49%","107","2.67%","8.51%","1,257","2.38%"
