"Age At Admission","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"41","1,171","2.37%","91.13%","114","2.79%","8.87%","1,285","2.41%"
"42","1,058","2.14%","91.92%","93","2.28%","8.08%","1,151","2.15%"
"43","996","2.02%","91.29%","95","2.33%","8.71%","1,091","2.04%"
"44","942","1.91%","90.93%","94","2.3%","9.07%","1,036","1.94%"
"45","901","1.83%","90.55%","94","2.3%","9.45%","995","1.86%"
"46","843","1.71%","90.06%","93","2.28%","9.94%","936","1.75%"
"47","770","1.56%","91.78%","69","1.69%","8.22%","839","1.57%"
"48","679","1.38%","90.65%","70","1.71%","9.35%","749","1.4%"
"49","634","1.28%","92.42%","52","1.27%","7.58%","686","1.28%"
"50","580","1.18%","92.5%","47","1.15%","7.5%","627","1.17%"
"51","527","1.07%","90.86%","53","1.3%","9.14%","580","1.09%"
"52","475","0.96%","92.59%","38","0.93%","7.41%","513","0.96%"
"53","501","1.02%","90.27%","54","1.32%","9.73%","555","1.04%"
"54","430","0.87%","91.1%","42","1.03%","8.9%","472","0.88%"
"55","449","0.91%","93.35%","32","0.78%","6.65%","481","0.9%"
"56","347","0.7%","91.8%","31","0.76%","8.2%","378","0.71%"
"57","374","0.76%","93.97%","24","0.59%","6.03%","398","0.74%"
"58","312","0.63%","93.41%","22","0.54%","6.59%","334","0.63%"
"59","326","0.66%","91.32%","31","0.76%","8.68%","357","0.67%"
"60","258","0.52%","91.49%","24","0.59%","8.51%","282","0.53%"
"61","245","0.5%","92.11%","21","0.51%","7.89%","266","0.5%"
"62","224","0.45%","94.12%","14","0.34%","5.88%","238","0.45%"
"63","185","0.37%","92.5%","15","0.37%","7.5%","200","0.37%"
"64","169","0.34%","95.48%","8","0.2%","4.52%","177","0.33%"
"65","152","0.31%","96.2%","6","0.15%","3.8%","158","0.3%"
"66","117","0.24%","95.9%","5","0.12%","4.1%","122","0.23%"
"67","88","0.18%","95.65%","4","0.1%","4.35%","92","0.17%"
"68","71","0.14%","93.42%","5","0.12%","6.58%","76","0.14%"
