Demographic information
4,"2,350",4.76%,89.87%,265,6.98%,10.13%,"2,615  4.92%"
5,"1,144",2.32%,90.65%,118,3.11%,9.35%,"1,262  2.37%"
6,558,1.13%,89.14%,68,1.79%,10.86%,626  1.18%
7,240,0.49%,93.02%,18,0.47%,6.98%,258  0.49%
8,124,0.25%,97.64%,3,0.08%,2.36%,127  0.24%
9,79,0.16%,91.86%,7,0.18%,8.14%,86  0.16%
10,39,0.08%,90.70%,4,0.11%,9.30%,43  0.08%
Over 10,70,0.14%,95.89%,3,0.08%,4.11%,73  0.14%
Total Reported,"49,387",100%,92.85%,"3,796",100%,7.14%,"53,188  100%"
Not Reported,322,6,328
Grand Total,"49,709","3,802","53,516"
Mean(average),,1.32,1.74,1.35
Median (middle),,1,2,1
Mode(most frequent),,0,0,0
"",,Male,,,Female,,Total
Religious Affiliation,Count,Col %,Row %,Count,Col %,Row %,Total Col %
1 Islam,"1,472",3.52%,98.00%,30,.87%,2.00%,"1,502  3.32%"
2 Catholic,"2,231",5.34%,92.27%,186,5.37%,7.69%,"2,418  5.34%"
3 Baptist,"19,907",47.65%,90.74%,"2,031",58.67%,9.26%,"21,939  48.49%"
4 Methodist,807,1.93%,87.24%,118,3.41%,12.76%,925  2.04%
5 Episcopln,73,.17%,91.25%,7,.20%,8.75%,80  .18%
6 Presbytrn,106,.25%,92.17%,9,.26%,7.83%,115  .25%
7 Chc Of God,501,1.20%,82.95%,103,2.98%,17.05%,604  1.33%
8 Holiness,"1,425",3.41%,78.04%,401,11.58%,21.96%,"1,826  4.04%"
9 Jewish,58,.14%,96.67%,2,.06%,3.33%,60  .13%
10 Anglican,13,.03%,86.67%,2,.06%,13.33%,15  .03%
11 Grk Orthdx,4,.01%,80.00%,1,.03%,20.00%,5  .01%
12 Hindu,10,.02%,100.00%,,,,10  .02%
13 Buddhist,56,.13%,93.33%,4,.12%,6.67%,60  .13%
14 Taoist,3,.01%,100.00%,,,,3  .01%
15 Shintoist,4,.01%,100.00%,,,,4  .01%
16 Seven D Ad,139,.33%,92.05%,12,.35%,7.95%,151  .33%
17 Jehovah Wt,464,1.11%,93.17%,34,.98%,6.83%,498  1.10%
18 Latr Day S,53,.13%,96.36%,2,.06%,3.64%,55  .12%
19 Quaker,1,.01%,100.00%,,,,1  .01%
20 Other Prot,"6,902",16.52%,94.87%,372,10.75%,5.11%,"7,275  16.08%"
96 None,"7,550",18.07%,98.06%,148,4.27%,1.92%,"7,699  17.02%"
Total Reported,"41,779",100%,92.34%,"3,462",100%,7.65%,"45,245  100%"
Not Reported,"7,931",340,"8,271"
Grand Total,"49,710","3,802","53,516"
Mode (most frequent),Baptist,Baptist,Baptist
"",,Male,,,Female,,Total
Home County,Count,Col %,Row %,Count,Col %,Row %,Total Col %
1 Appling,126,.26%,93.33%,9,.24%,6.67%,135  .26%
2 Atkinson,41,.09%,100.00%,,,,41  .08%
3 Bacon,66,.14%,97.06%,2,.05%,2.94%,68  .13%
4 Baker,20,.04%,95.24%,1,.03%,4.76%,21  .04%
5 Baldwin,288,.60%,95.36%,14,.38%,4.64%,302  .59%
6 Banks,49,.10%,89.09%,6,.16%,10.91%,55  .11%
7 Barrow,263,.55%,91.32%,25,.68%,8.68%,288  .56%
8 Bartow,562,1.17%,89.49%,66,1.79%,10.51%,628  1.22%
9 Ben Hill,236,.49%,94.40%,14,.38%,5.60%,250  .49%
10 Berrien,87,.18%,95.60%,4,.11%,4.40%,91  .18%
11 Bibb,"1,209",2.53%,94.23%,74,2.01%,5.77%,"1,283  2.49%"
12 Bleckley,72,.15%,90.00%,8,.22%,10.00%,80  .16%
13 Brantley,49,.10%,90.74%,5,.14%,9.26%,54  .10%
14 Brooks,71,.15%,94.67%,4,.11%,5.33%,75  .15%
15 Bryan,100,.21%,91.74%,9,.24%,8.26%,109  .21%
