Demographic information
"4 Current age, broken out in ten year age groups"
5 Race group
"6 Marital status, self-reported at entry to prison"
"7 Number of inmates with Dependents, self-reported at entry to prison"
"8 Religious affiliation, self-reported at entry to prison"
10 Home county - self-reported at entry to prison
"17 Employment status before prison, self-reported at entry to prison"
18 Age at admission
"21 Height, measured at entry to prison"
"23 Weight, measured at entry to prison"
25 Military service
Correctional information
26 Type of admission to prison
27 Current / last supervision level
28 Current / last institution type
29 Institution type - transitional centers
30 Institution type - county prisons
32 Institution type - state prisons
34 Institution type - private prisons
35 Institution type - inmate boot camp
36 Number of disciplinary reports
37 Number of transfers
38 Number of escapes
39 Split sentence - Probation to follow
40 Probable future release type of still active inmates
41 Time served in current (or last) institution
"Educational, psychological and physical information"
42 Highest grade level attained
44 Culture fair IQ scores
"Educational, psychological and physical information"
45 Wide Range Achievement Test (WRAT) reading score
46 Wide Range Achievement Test (WRAT) math score
47 Wide Range Achievement Test (WRAT) spelling score
48 Current / last mental health treatment level
49 PULHESDWIT medical scale - 'P' overall condition ('P'hysical)
50 PULHESDWIT medical scale - 'U' upper body
51 PULHESDWIT medical scale - 'L' lower body
52 PULHESDWIT medical scale - 'H' hearing
53 PULHESDWIT medical scale - 'E' vision
54 PULHESDWIT medical scale -'S' psychiatric
55 PULHESDWIT medical scale - 'D' dental
56 PULHESDWIT medical scale - 'W' work ability
57 PULHESDWIT medical scale - 'I' impairment
58 PULHESDWIT medical scale - 'T' transportability
Crimes and criminal history information
59 Number of prior Georgia incarcerations
60 Prison sentence in years
"61 Primary offense, broken out into felonies vs misdemeanors"
"62 Primary offense, broken out into six broad crime categories"
"63 Primary offense, detailed offense code"
76 County of conviction of primary offense
83 Circuit of conviction of primary offense
86 Years served (jail + prison) in this incarceration
Medical information
88 Results of most recent HIV test
89 Results of most recent tuberculosis test
90 Results of most recent syphilis test
91 Results of most recent Hepatitis-C test
Current Age,Count,Col%,Row%,Count,Col%,Row%,Total,Col%
Teens (1-19),412,0.85%,95.37%,20,0.5%,4.63%,432,0.82%
Twenties (20-29),"9,577",19.66%,92.53%,773,19.15%,7.47%,"10,350",19.63%
Thirties (30-39),"14,871",30.53%,91.16%,"1,442",35.73%,8.84%,"16,313",30.93%
Forties (40-49),"12,029",24.7%,91.94%,"1,054",26.11%,8.06%,"13,083",24.81%
Fifties (50-59),"6,992",14.36%,93.14%,515,12.76%,6.86%,"7,507",14.23%
Sixties (60-69),"3,753",7.71%,95.04%,196,4.86%,4.96%,"3,949",7.49%
Seventy + (70 and above),"1,068",2.19%,96.74%,36,0.89%,3.26%,"1,104",2.09%
Total Reported,"48,702",100.00%,92.35%,"4,036",100.00%,7.65%,"52,738",100.00%
Not Reported,448,3,451
Grand Total,"49,150","48,705","53,189"
Mean (average),40.91,39.45,40.79
Median (middle),39,38,39
Mode (most frequent),35,37,35
Race Group,Count,Col%,Row%,Count,Col%,Row%,Total,Col%
1White,"16,173",32.91%,87.72%,"2,265",56.08%,12.28%,"18,438",34.67%
2Black,"30,236",61.52%,94.66%,"1,704",42.19%,5.34%,"31,940",60.05%
5Other,18,0.04%,81.82%,4,0.1%,18.18%,22,0.04%
6Asian,161,0.33%,94.15%,10,0.25%,5.85%,171,0.32%
9Unknown,4,0.01%,100.0%,,,,4,0.01%
10Hispanic,"2,520",5.13%,97.94%,53,1.31%,2.06%,"2,573",4.84%
12Native American,35,0.07%,92.11%,3,0.07%,7.89%,38,0.07%
13Native Hawaiian,3,0.01%,100.0%,,,,3,0.01%
Total Reported,"49,150",100.00%,92.41%,"4,039",100.00%,7.59%,"53,189",100.00%
Not Reported,0,0,0
Grand Total,"49,150","4,039","53,189"
Mode (most frequent),Black,White,Black
Marital Status,Count,Col%,Row%,Count,Col%,Row%,Total,Col%
0Unknown,"8,436",17.16%,97.6%,207,5.13%,2.4%,"8,643",16.25%
DDivorced,"3,918",7.97%,88.5%,509,12.6%,11.5%,"4,427",8.32%
MMarried,"5,297",10.78%,87.76%,739,18.3%,12.24%,"6,036",11.35%
SSeparated,"1,242",2.53%,92.89%,95,2.35%,7.11%,"1,337",2.51%
UUnmarried,"29,801",60.63%,92.78%,"2,319",57.42%,7.22%,"32,120",60.39%
WWidow,456,0.93%,72.84%,170,4.21%,27.16%,626,1.18%
Total Reported,"49,150",100.00%,92.41%,"4,039",100.00%,7.59%,"53,189",100.00%
Not Reported,0,0,0
Grand Total,"49,150","4,039","53,189"
Mode (most frequent),Unmarried,Unmarried,Unmarried
"",,Male,,,Female,,Total
Number of Dependents,Count,Col%,Row%,Count,Col%,Row%,Total Col%
0,"12,663",35.19%,90.44%,"1,339",49.28%,9.56%,"14,002 36.18%"
1,"8,239",22.9%,94.91%,442,16.27%,5.09%,"8,681 22.43%"
2,"6,412",17.82%,94.25%,391,14.39%,5.75%,"6,803 17.58%"
3,"3,900",10.84%,93.17%,286,10.53%,6.83%,"4,186 10.82%"
4,"2,176",6.05%,93.43%,153,5.63%,6.57%,"2,329 6.02%"
5,"1,155",3.21%,95.06%,60,2.21%,4.94%,"1,215 3.14%"
6,601,1.67%,96.01%,25,0.92%,3.99%,626 1.62%
7,351,0.98%,96.69%,12,0.44%,3.31%,363 0.94%
8,193,0.54%,97.97%,4,0.15%,2.03%,197 0.51%
9,102,0.28%,98.08%,2,0.07%,1.92%,104 0.27%
10,70,0.19%,95.89%,3,0.11%,4.11%,73 0.19%
Over 10,123,0.34%,100.0%,,,,123 0.32%
