"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,331","32.19%","89.40%","1,937","53.87%","10.60%","18,268","33.63%"
"Black","31,922","62.93%","95.32%","1,567","43.58%","4.68%","33,489","61.65%"
"Other","36",".07%","80.00%","9",".25%","20.00%","45",".08%"
"Asian","140",".28%","90.91%","14",".39%","9.09%","154",".28%"
"Unknown","1",".01%","50.00%","1",".03%","50.00%","2",".01%"
"Hispanic","2,275","4.48%","97.26%","64","1.78%","2.74%","2,339","4.31%"
"Native American","22",".04%","84.62%","4",".11%","15.38%","26",".05%"
"Total Reported","50,727","100%","93.38%","3,596","100%","6.62%","54,323","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,727","","","3,596","","","54,323",""
