"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,450","32.27%","89.36%","1,959","54.24%","10.64%","18,409","33.73%"
"Black","32,049","62.88%","95.35%","1,562","43.24%","4.65%","33,611","61.58%"
"Other","37",".07%","82.22%","8",".22%","17.78%","45",".08%"
"Asian","136",".27%","90.07%","15",".42%","9.93%","151",".28%"
"Unknown","1",".01%","100.00%","0","0%","0%","1",".01%"
"Hispanic","2,271","4.46%","97.26%","64","1.77%","2.74%","2,335","4.28%"
"Native American","25",".05%","86.21%","4",".11%","13.79%","29",".05%"
"Total Reported","50,969","100%","93.38%","3,612","100%","6.62%","54,581","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,969","","","3,612","","","54,581",""
