"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,235","31.73%","89.04%","1,998","52.79%","10.96%","18,233","33.18%"
"Black","32,402","63.32%","95.05%","1,689","44.62%","4.95%","34,091","62.04%"
"Other","48",".09%","88.89%","6",".16%","11.11%","54",".10%"
"Asian","127",".25%","96.95%","4",".11%","3.05%","131",".24%"
"Hispanic","2,330","4.55%","96.60%","82","2.17%","3.40%","2,412","4.39%"
"Native American","26",".05%","83.87%","5",".13%","16.13%","31",".06%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","51,168","100%","93.11%","3,785","100%","6.89%","54,953","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,168","","","3,785","","","54,953",""
