"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,146","32.13%","89.23%","2,069","52.67%","10.77%","19,215","33.54%"
"Black","33,550","62.87%","95.03%","1,754","44.65%","4.97%","35,304","61.62%"
"Other","46",".09%","82.14%","10",".25%","17.86%","56",".10%"
"Asian","147",".28%","96.08%","6",".15%","3.92%","153",".27%"
"Unknown","4",".01%","100.00%","0","0%","0%","4",".01%"
"Hispanic","2,449","4.59%","96.72%","83","2.11%","3.28%","2,532","4.42%"
"Native American","25",".05%","83.33%","5",".13%","16.67%","30",".05%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","53,367","100%","93.14%","3,928","100%","6.86%","57,295","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","53,367","","","3,928","","","57,295",""
