"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,848","31.97%","89.14%","2,053","52.70%","10.86%","18,901","33.40%"
"Black","33,266","63.13%","95.02%","1,742","44.71%","4.98%","35,008","61.86%"
"Other","49",".09%","87.50%","7",".18%","12.50%","56",".10%"
"Asian","145",".28%","96.03%","6",".15%","3.97%","151",".27%"
"Unknown","3",".01%","100.00%","0","0%","0%","3",".01%"
"Hispanic","2,358","4.47%","96.64%","82","2.10%","3.36%","2,440","4.31%"
"Native American","25",".05%","83.33%","5",".13%","16.67%","30",".05%"
"Native Hawaiian","0","0%","0%","1",".03%","100.00%","1",".01%"
"Total Reported","52,694","100%","93.12%","3,896","100%","6.88%","56,590","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","52,694","","","3,896","","","56,590",""
