"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","15,401","31.50%","88.64%","1,973","52.14%","11.36%","17,375","32.99%"
"Black","31,261","63.95%","94.72%","1,744","46.09%","5.28%","33,005","62.66%"
"Other","46",".09%","95.83%","2",".05%","4.17%","48",".09%"
"Asian","107",".22%","96.40%","4",".11%","3.60%","111",".21%"
"Unknown","2",".01%","66.67%","1",".03%","33.33%","3",".01%"
"Hispanic","2,031","4.15%","97.41%","54","1.43%","2.59%","2,085","3.96%"
"Racially Mixed","7",".01%","70.00%","3",".08%","30.00%","10",".02%"
"Native American","30",".06%","90.91%","3",".08%","9.09%","33",".06%"
"Total Reported","48,885","100%","92.81%","3,784","100%","7.18%","52,670","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","48,885","","","3,784","","","52,670",""
