"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,586","34.30%","88.30%","2,331","58.91%","11.70%","19,917","36.07%"
"Black","31,381","61.21%","95.29%","1,552","39.22%","4.71%","32,933","59.64%"
"Other","2",".01%","50.00%","2",".05%","50.00%","4",".01%"
"Asian","183",".36%","95.31%","9",".23%","4.69%","192",".35%"
"Unknown","2",".01%","100.00%","0","0%","0%","2",".01%"
"Hispanic","2,081","4.06%","97.06%","63","1.59%","2.94%","2,144","3.88%"
"Native American","29",".06%","100.00%","0","0%","0%","29",".05%"
"Total Reported","51,264","100%","92.83%","3,957","100%","7.17%","55,221","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,264","","","3,957","","","55,221",""
