"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,075","32.92%","87.79%","2,236","55.98%","12.21%","18,311","34.66%"
"Black","30,039","61.51%","94.68%","1,688","42.26%","5.32%","31,727","60.06%"
"Other","19","0.04%","82.61%","4","0.1%","17.39%","23","0.04%"
"Asian","161","0.33%","94.15%","10","0.25%","5.85%","171","0.32%"
"Unknown","2","0.01%","100.0%","0","0%","0%","2","0.01%"
"Hispanic","2,500","5.12%","97.92%","53","1.33%","2.08%","2,553","4.83%"
"Native American","34","0.07%","94.44%","2","0.05%","5.56%","36","0.07%"
"Native Hawaiian","3","0.01%","75.0%","1","0.03%","25.0%","4","0.01%"
"Total Reported","48,833","100.00%","92.44%","3,994","100.00%","7.56%","52,827","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","48,833","","","3,994","","","52,827",""
