"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,022","32.26%","89.30%","1,919","54.72%","10.70%","17,941","33.74%"
"Black","31,193","62.81%","95.38%","1,511","43.09%","4.62%","32,704","61.51%"
"Other","38",".08%","86.36%","6",".17%","13.64%","44",".08%"
"Asian","156",".31%","93.41%","11",".31%","6.59%","167",".31%"
"Unknown","2",".01%","66.67%","1",".03%","33.33%","3",".01%"
"Hispanic","2,229","4.49%","97.51%","57","1.63%","2.49%","2,286","4.30%"
"Native American","25",".05%","92.59%","2",".06%","7.41%","27",".05%"
"Total Reported","49,665","100%","93.4%","3,507","100%","6.6%","53,172","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,665","","","3,507","","","53,172",""
