"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,592","34.32%","88.15%","2,365","59.30%","11.85%","19,957","36.12%"
"Black","31,367","61.19%","95.33%","1,536","38.52%","4.67%","32,903","59.56%"
"Other","58",".11%","89.23%","7",".18%","10.77%","65",".12%"
"Asian","179",".35%","94.71%","10",".25%","5.29%","189",".34%"
"Unknown","15",".03%","100.00%","0","0%","0%","15",".03%"
"Hispanic","2,023","3.95%","96.70%","69","1.73%","3.30%","2,092","3.79%"
"Native American","23",".04%","95.83%","1",".03%","4.17%","24",".04%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","51,258","100%","92.78%","3,988","100%","7.22%","55,246","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,258","","","3,988","","","55,246",""
